llavemod,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion
1262406102,REVISION_MANUAL,74,0.3,MODERADO,R003|R005,2,0,
1262502102,RECHAZADO,40,0.3,MODERADO,R009|R012,2,1,
1262608101,RECHAZADO,46,0.3,MODERADO,R005,1,0,
1262705101,RECHAZADO,41,0.3,MODERADO,R004|R005|R012,3,1,
1262803102,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,
1262902101,RECHAZADO,13,0.3,MODERADO,R004,1,0,
1263002106,RECHAZADO,13,0.3,MODERADO,R009|R010,2,0,
1263104101,RECHAZADO,0,0.3,MODERADO,R002|R004,2,0,
1263205102,RECHAZADO,45,0.3,MODERADO,R001|R004,2,0,
1263303101,REVISION_MANUAL,77,0.3,MODERADO,R005|R012|R015,3,2,
1263401101,REVISION_MANUAL,67,0.3,MODERADO,R001|R004|R005|R012,4,1,
1263509101,RECHAZADO,44,0.3,MODERADO,R005,1,0,
1263601101,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1263703101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1263819101,REVISION_MANUAL,77,0.3,MODERADO,R001|R005,2,0,
1263903102,RECHAZADO,11,0.3,MODERADO,R004,1,0,
1264012101,RECHAZADO,14,0.3,MODERADO,R004|R005|R010,3,0,
1264103102,APROBADO,99,0.3,MODERADO,R003|R005|R012,3,1,
1264218101,RECHAZADO,45,0.3,MODERADO,R005,1,0,
1264310101,RECHAZADO,41,0.3,MODERADO,R004|R005|R012,3,1,
1264401102,RECHAZADO,25,0.3,MODERADO,R004|R012,2,1,
1264504103,REVISION_MANUAL,72,0.3,MODERADO,R001|R010|R012,3,1,
1264603101,RECHAZADO,54,0.3,MODERADO,R012,1,1,
1264701102,RECHAZADO,53,0.3,MODERADO,R001|R004|R012,3,1,
1264801102,RECHAZADO,30,0.3,MODERADO,,0,0,
1264909104,RECHAZADO,19,0.3,MODERADO,R004|R012,2,1,
1265018101,RECHAZADO,27,0.3,MODERADO,R004|R005,2,0,
1265108101,RECHAZADO,28,0.3,MODERADO,,0,0,
1265204102,RECHAZADO,39,0.3,MODERADO,,0,0,
1265302101,RECHAZADO,29,0.3,MODERADO,,0,0,
1265416101,RECHAZADO,37,0.3,MODERADO,R010|R012,2,1,
1265509102,RECHAZADO,41,0.3,MODERADO,R005,1,0,
1265605101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1265705101,APROBADO,91,0.3,MODERADO,R001|R012,2,1,
1265803101,APROBADO,88,0.3,MODERADO,R001|R012,2,1,
1265911102,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1266002102,RECHAZADO,28,0.3,MODERADO,,0,0,
1266105101,RECHAZADO,54,0.3,MODERADO,R005|R010|R012,3,1,
1266202101,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1266315101,REVISION_MANUAL,77,0.3,MODERADO,R005|R012|R015,3,2,
1266403104,RECHAZADO,11,0.3,MODERADO,R004|R009|R012,3,1,
1266508101,RECHAZADO,48,0.3,MODERADO,R005,1,0,
1266604101,RECHAZADO,52,0.3,MODERADO,R012,1,1,
1266711102,RECHAZADO,12,0.3,MODERADO,R004,1,0,
1266801102,APROBADO,98,0.3,MODERADO,R001|R005|R012,3,1,
1266908101,RECHAZADO,42,0.3,MODERADO,R001|R004,2,0,
1267015101,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,
1267105102,RECHAZADO,39,0.3,MODERADO,R010|R012,2,1,
1267201104,RECHAZADO,39,0.3,MODERADO,R012,1,1,
1267307103,APROBADO,100,0.3,MODERADO,R001|R005|R012,3,1,
1267405101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1267504102,RECHAZADO,4,0.3,MODERADO,R002,1,0,
1267604102,RECHAZADO,8,0.3,MODERADO,R004,1,0,
1267713103,RECHAZADO,26,0.3,MODERADO,R004|R005,2,0,
1267802102,RECHAZADO,38,0.3,MODERADO,R004|R005|R012,3,1,
1267903102,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
