llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
581102,3,5,1,1,1,1,1,5,1,,5811,2,29,3,5,171,2032,830
581218,2,3,2,1,2,1,1,2,1,,5812,18,25,2,1,142,1677,2524
581305,1,4,1,2,,2,,4,1,,5813,5,26,1,1,151,1779,2117
581403,2,4,1,1,1,2,,2,1,,5814,3,9,1,4,48,597,2967
581504,1,3,1,1,3,1,1,1,1,,5815,4,16,3,3,88,1105,4784
581614,1,4,1,1,1,1,1,1,1,,5816,14,18,4,3,101,1218,1072
581702,2,4,0,2,,2,,4,1,,5817,2,20,4,6,111,1381,3504
581805,1,2,1,2,,2,,3,1,,5818,5,15,3,5,85,1033,13434
581910,2,3,1,1,1,2,,1,1,,5819,10,3,2,1,13,147,488
582002,1,2,1,2,,2,,3,1,,5820,2,29,2,5,170,2022,1015
582103,3,4,2,1,2,1,1,3,1,,5821,3,15,1,5,87,1090,13365
582214,1,2,0,2,,2,,1,1,,5822,14,7,4,6,39,448,4578
582303,4,5,2,1,2,1,1,6,1,,5823,3,29,3,5,166,1967,2601
582403,2,6,0,2,,2,,5,1,,5824,3,24,4,2,137,1595,1121
582503,1,5,1,1,1,2,,2,1,,5825,3,1,1,3,4,26,1132
582617,6,8,1,2,,2,,6,1,,5826,17,7,4,6,39,453,3363
582705,4,6,2,1,1,1,1,6,1,,5827,5,6,1,3,35,418,826
582803,2,6,1,1,1,1,1,2,1,,5828,3,29,2,5,170,2020,1036
582901,3,4,1,2,,1,1,4,1,,5829,1,29,2,5,169,2003,1004
583001,2,4,1,2,,2,,1,1,,5830,1,24,1,2,139,1649,1058
583103,2,3,1,1,1,1,1,4,1,,5831,3,9,1,4,50,721,3243
583204,2,4,1,2,,2,,3,1,,5832,4,10,1,1,54,817,1191
583303,2,4,2,2,,2,,2,1,,5833,3,24,1,2,140,1660,1407
583401,3,4,1,1,2,1,1,3,1,,5834,1,8,1,1,44,511,2512
583503,2,4,1,2,,1,1,3,1,,5835,3,14,3,3,75,959,21971
583604,2,4,1,1,2,1,1,2,1,,5836,4,26,1,1,151,1784,2039
583701,2,4,1,1,1,1,1,2,1,,5837,1,25,1,1,145,1720,1138
583808,3,4,2,2,,2,,5,1,,5838,8,29,3,5,166,1971,658
583904,2,3,1,1,1,1,1,4,1,,5839,4,25,1,1,145,1708,2585
584005,2,6,1,1,1,1,1,3,1,,5840,5,24,1,2,140,1652,1651
584102,3,5,1,1,1,2,,3,1,,5841,2,21,1,5,122,1456,3365
584202,2,3,1,2,,1,1,3,1,,5842,2,6,1,3,34,396,778
584301,2,2,1,2,,1,1,3,1,,5843,1,17,1,5,98,1185,1596
584405,2,3,1,2,,1,1,5,1,,5844,5,19,1,2,106,1272,3266
584501,3,5,1,2,,1,1,1,1,,5845,1,21,2,5,116,1409,5069
584620,2,3,2,1,1,1,1,5,1,,5846,20,2,2,1,7,60,4118
584702,2,4,2,1,1,2,,2,1,,5847,2,5,3,2,26,272,1902
584813,2,4,0,2,,2,,4,1,,5848,13,30,4,5,173,2040,4785
584902,1,2,1,1,1,1,1,2,1,,5849,2,2,1,1,10,120,2739
585004,2,3,1,2,,2,,2,2,2,5850,4,19,1,2,106,1291,2916
585106,2,4,1,1,1,1,1,5,1,,5851,6,3,2,1,13,147,488
585220,3,5,2,1,1,2,,10,1,,5852,20,13,3,5,67,920,1739
585303,1,5,1,1,1,1,1,2,1,,5853,3,21,2,5,120,1421,5724
585403,1,2,1,2,,1,1,3,1,,5854,3,9,2,4,48,559,5687
585502,2,3,1,2,,1,1,2,1,,5855,2,13,2,5,67,918,1831
585601,1,2,1,1,1,1,1,2,1,,5856,1,31,2,6,182,2097,2212
585704,2,4,1,1,1,1,1,4,1,,5857,4,6,4,3,33,394,835
585801,2,4,1,1,1,1,1,5,1,,5858,1,23,1,6,133,1568,1491
585904,4,9,3,1,3,1,1,3,1,,5859,4,15,1,5,87,1096,11554
586005,3,5,1,1,1,1,1,8,1,,5860,5,5,1,2,30,335,1555
586110,2,3,1,2,,1,1,3,1,,5861,10,13,4,5,71,938,2501
586202,2,3,1,2,,1,1,2,1,,5862,2,19,1,2,106,1265,3434
586305,2,3,1,1,1,2,,3,1,,5863,5,28,1,2,162,1855,1979
586404,2,3,1,1,1,1,1,2,1,,5864,4,3,1,1,17,183,709
586506,2,4,1,1,1,1,1,4,1,,5865,6,13,2,5,67,918,1831
586601,1,4,1,1,2,1,1,2,1,,5866,1,26,3,1,147,1735,2939
586703,1,3,1,1,1,1,1,2,1,,5867,3,29,3,5,169,1987,1155
586804,2,3,1,2,,1,1,4,1,,5868,4,20,4,6,113,1393,3021
586902,1,2,1,1,1,2,,1,1,,5869,2,15,3,5,85,1053,10752
587001,3,7,2,1,1,1,1,2,1,,5870,1,9,1,4,50,708,3458
587103,3,6,1,1,1,1,1,5,1,,5871,3,30,1,5,175,2064,4903
587201,3,6,2,1,1,1,1,4,1,,5872,1,8,1,1,46,555,1050
587305,2,4,1,2,,1,1,3,1,,5873,5,27,1,6,157,1835,4084
587403,2,4,1,2,,2,,4,1,,5874,3,12,4,6,63,887,2678
587501,1,3,2,2,,1,1,1,1,,5875,1,1,1,3,5,39,1139
587604,3,5,2,1,2,1,1,3,1,,5876,4,14,1,3,80,1008,6695
587705,1,1,1,2,,1,1,2,1,,5877,5,3,1,1,15,161,350
587820,2,3,2,2,,1,1,3,1,,5878,20,27,3,6,153,1809,2602
587915,2,5,1,1,2,1,1,3,1,,5879,15,3,3,1,13,146,496
588012,2,2,1,2,,1,1,4,1,,5880,12,14,2,3,75,966,3387
588101,1,5,2,1,1,1,1,2,1,,5881,1,15,3,5,81,1017,6441
588202,5,8,2,2,,1,1,1,1,,5882,2,30,1,5,175,2057,5683
588304,1,3,1,1,1,1,1,3,1,,5883,4,28,1,2,163,1917,1896
588403,2,3,1,2,,1,1,7,1,,5884,3,4,3,6,19,221,707
588516,4,6,0,2,,2,,6,1,,5885,16,24,4,2,136,1590,1225
588605,1,2,0,2,,2,,5,1,,5886,5,9,1,4,49,672,1906
588704,2,5,2,1,1,1,1,1,1,,5887,4,21,1,5,121,1448,1033
588802,1,3,1,2,,1,1,1,1,,5888,2,6,1,3,35,416,888
588918,1,1,1,2,,2,,3,1,,5889,18,31,4,6,180,2092,2522
589001,1,3,1,1,1,1,1,4,1,,5890,1,23,1,6,132,1556,1226
589107,4,6,2,1,1,1,2,4,1,,5891,7,21,3,5,115,1404,6225
589217,3,5,1,1,1,1,2,5,1,,5892,17,22,4,3,125,1466,2305
589320,1,2,0,2,,1,1,3,1,,5893,20,11,3,3,56,830,5624
589403,1,2,1,1,1,2,,2,1,,5894,3,22,1,3,126,1470,2278
589501,1,2,0,2,,1,1,4,1,,5895,1,9,4,4,47,556,1507
589605,3,4,1,2,,1,1,5,1,,5896,5,26,1,1,151,1775,2137
589710,3,7,1,1,1,1,2,4,1,,5897,10,30,4,5,174,2047,5218
589818,2,4,0,2,,1,1,2,1,,5898,18,30,4,5,173,2042,4624
589905,3,6,1,2,,1,1,1,1,,5899,5,8,1,1,46,547,3150
590003,1,3,2,2,,1,1,1,1,,5900,3,19,1,2,108,1353,3246
