edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
48,600.0,180.0,2,2,5,Propia,Consumo,10000.0,False,True,787019101,7870191,REVISION_MANUAL,72,0.3,MODERADO,R001|R005|R010,3,0,,True,False,1,0
35,2500.0,750.0,2,1,1,Familiar,Consumo,10000.0,False,True,787204102,7872041,REVISION_MANUAL,72,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
58,1000.0,300.0,2,0,2,Propia,Consumo,10000.0,True,True,788002101,7880021,RECHAZADO,54,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
40,4000.0,1200.0,2,0,3,Familiar,Consumo,10000.0,True,True,788105102,7881051,RECHAZADO,52,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
52,1800.0,540.0,2,1,0,Familiar,Consumo,10000.0,False,True,788605101,7886051,REVISION_MANUAL,63,0.3,MODERADO,R001,1,0,,True,False,1,0
29,10000.0,3000.0,2,4,4,Familiar,Consumo,10000.0,False,True,788805101,7888051,REVISION_MANUAL,72,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
37,2900.0,870.0,2,4,4,Familiar,Consumo,10000.0,False,True,789005101,7890051,REVISION_MANUAL,67,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
59,2500.0,750.0,2,0,2,Propia,Consumo,10000.0,True,True,789503101,7895031,REVISION_MANUAL,65,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
68,500.0,150.0,2,1,0,Propia,Consumo,9000.0,False,True,789705101,7897051,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
72,7000.0,2100.0,2,0,1,Propia,Consumo,10000.0,True,True,790504101,7905041,REVISION_MANUAL,70,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
23,7000.0,2100.0,2,0,0,Familiar,Consumo,10000.0,False,True,790901101,7909011,RECHAZADO,56,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
46,7000.0,2100.0,2,4,4,Familiar,Consumo,10000.0,True,True,792304103,7923041,REVISION_MANUAL,70,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
